Tag,Agency,Overseas Post or Washington D.C. Office,Country,Project Name,Project Summary,Regional or Specific Knowledge,Technical Skills w/Level,Foreign Languages w/Level,Requirements/Comments
151,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,Outreach & Social Media for Office of eDiplomacy,"Use social media to promote the Office of eDiplomacy and Tech@State, provide assistance in outreach and engagement events and the management of the tech.state.gov community of 1,400+ members, and research potential topics for Tech@State events",Interest in both diplomacy and technology; Possess strong attention to detail; Able to work independently and with minimal supervision,Blogging - Int.; Research - Beginner; Social media - Adv.; Website editing - Beginner,,
152,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,Mobile Apps for Digital Diplomacy,"Develop mobile apps to spread the word about new projects and opportunities in the Office of eDiplomacy by working with the eDiplomacy team to develop interactive Apps that provide easy access to information regarding the TechCamp Initiative (techcampglobal.org), Tech@State (tech.state.gov), and the Virtual Student Foreign Service program","Advanced expertise desired, intermediate expertise considered. Candidate should possess knowledge needed to develop a cross-platform mobile application and should be strong in HTML5/CSS3 for web media. Desired candidate will have experience developing apps using Phonegap and should also be familiar with iOS and Android and have an overall good sensibility for design. ",Website design and development - Adv.,,
153,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,TechCamp Marketing and Outreach,"Create marketing material and interactive videos, blog posts, and make our Wordpress-based website (techcampglobal.org) the place to go to for information about TechCamps",Familiar with Wordpress and basic video editing (iMovie/Final Cut or similar) and graphic design (Photoshop or similar) ,Digital film editing software - Int.; Graphic design - Int.; Website design and development - Int.; Website editing - Int.,,Creative minds welcome!  Learn more: techcampglobal.org 
154,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,Creation of a Microsoft Kinect Interactive Display,Program the Microsoft Kinect to create an innovative and interactive display to be used for eDiplomacy outreach,"Programming languages, especially C#, C++, and VB.",Website design and development - Adv.; Website editing - Adv.,,
155,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,API Development,"Develop an API for eDiplomacy GIS projects; Design a custom project management portal; Assist with other, related projects","Web design helpful but programming skills are key - Java, Python, C, C#, C++, SQL, Perl... etc. The more the better, but one or two is sufficient.",Website design and development - Adv.; Website editing - Adv.,,
156,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,State Department Tech Training Promotion,Improve the image/marketing/awareness of IT and technical courses offered by the Department of State to other federal government agencies and students ,,Video - Beginner; Graphic design - Int.; Social media - Int.,,
157,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,"Crowdsourcing, Microtasking, and Gamification","Research and document best practices in crowdsourcing, microtasking, and gamification ",Previous experience or knowledge of these technologies preferred but not essential if you have a deep curiosity in the subject,MS Office platform - Beginner; Research - Int.; Social media - Int.; Website design and development - Beginner,,Revolutionize government collaboration! We have two Presidential Innovation Fellows working with Foreign and Civil Service innovators. 
158,State ,"eDiplomacy, Information Resource Management (IRM/BMP/EDIP)",Washington D.C.,Future Technologies & Foreign Affairs,Research the future of technology and how it will impact foreign affairs 10-20 years,Passion for technology and foreign affairs with an interest in future studies; Specific knowledge about the relevant technologies is helpful but not essential,MS Office platform - Beginner; Research - Int.; Social media - Int.,You're expected to learn as you go.,Be a pioneer.  Change the way IT impacts foreign affairs!
159,State ,"Governance, Resource, and Performance Management, Information Resource Management (IRM/BMP/GRP/PMD)",Washington D.C.,IT Recruitment ,Employ social networking tools and online research methods to identify potential sources for recruitment of IT professionals and students into the U.S. Department of State Foreign Service within a pre-determined region ,"Information technology and recruitment methods helpful, but not mandatory",Blogging - Int.; MS Office platform - Int.; Research - Adv.; Social media - Adv.; Web chat - Int.,,
160,State ,"Chief Information, Information Resource Management (IRM/CIO)",Washington D.C.,Bureau of Information Resource Management Assistance ,"Help the Bureau of Information Resource Management with writing, editing, researching, and data visualization projects","Experience with Prezi software and the Microsoft Office Suite; Experience with graphic design, especially in creating data visualizations",Graphic design - Int.; MS Office platform - Int.; Research - Adv.,,"The ideal eIntern would be interested in technology, with a strong attention to detail, and the ability to work efficiently under pressure."
161,State ,"Enterprise Network Management, Information Resource Management (IRM/OPS/ENM)",Washington D.C.,Business Improvement Analysis Project,"Provide business assessment of cost models, baseline services  and create  multimedia presentation on services that are utilized by Department of State domestic and overseas users.","Strong oral and written communication skills required; Ability to interact with clients in clear and concise manner;  Business Management, Marketing, and/or Accounting major in college, graduate, or post graduate; Experience using Microsoft Office  (Word, Excel, PowerPoint, etc.)      ",Video - Int.; MS Office platform - Adv.; Research - Adv.,,
162,State ,"Strategic Planning and Outreach, International Security and Nonproliferation (ISN/SPO)",Washington D.C.,Social Media Analysis,Provide research to support the Bureau of International Security and Nonproliferation's (ISN) policy agenda (http://www.state.gov/t/isn),"Social media knowledge a must, including the ability to write clearly, and concisely; Research and presenting options will be an integral part of this person's work and some policy experience in preparing such products a plus ",Blogging - Int.; Video - Int.; Digital camera - Int.; Digital film editing software - Int.; Graphic design - Int.; MS Office platform - Int.; Research - Adv.; Social media - Adv.; Web chat - Int.,,"The Bureau's primary focus is stopping the spread of Chemical, Biological, Radiological, and Nuclear Weapons (CBRN); sensitive dual use items of concern; peaceful uses of nuclear energy; missile technology; terrorism as it pertains to dangerous weapons; and implementing programs to keep technology safe and secure.  Interest in these topics required.  "
163,State ,"Global Youth Issues; Civilian Security, Democracy and Human Rights (J/GYI)",Washington D.C.,Global Youth Council Network,"Help the Global Youth Issues Office (J/GYI) design/build/administer a digital network to connect the Department of State's 65+ Youth Councils worldwide with one another to enable discussion, collaboration, and sharing information/best practices among the next generation of change makers",,Blogging - Beginner; Social media - Int.; Web chat - Beginner; Website design and development - Beginner; Website editing - Beginner,,
164,State ,"Global Youth Issues; Civilian Security, Democracy and Human Rights (J/GYI)",Washington D.C.,Global Youth Contact Network,Help the Global Youth's Issues Office (J/GYI) create/manage/grow a database of young global change makers to feed into the network of voices that help inform policy,,MS Office platform - Int.; Research - Int.,,
165,State ,"Monitor and Combat Trafficking in Persons; Civilian Security, Democracy and Human Rights (J/TIP)",Washington D.C.,Trafficking in Persons - Northern East Africa and South Central Asia,"Research and analyze human trafficking in Northern East Africa and South Central Asia through open source media searches, research with international organization publications, books, and journals to identify practices in fighting trafficking and governmental response to contribute to reports including the Trafficking in Persons Report","Proficiency in one or more of the following languages: Bengali, Hindi, or Nepali; Background in Northern East Africa and South Central Asia affairs is preferred, but not obligatory; Research skills with libraries, academic databases, and foreign media is highly desired; Access to academic libraries or well-stocked public libraries useful",,See Regional or Specific Knowledge,
166,State ,"Monitor and Combat Trafficking in Persons; Civilian Security, Democracy and Human Rights (J/TIP)",Washington D.C.,Trafficking in Persons - Western Hemisphere,"Research and analyze human trafficking in the Western Hemisphere through open source media searches, research with international organization publications, books, and journals to identify practices in fighting trafficking and governmental response to contribute to reports including the Trafficking in Persons Report","Spanish strongly preferred and Portuguese is a plus; Background in the Western Hemisphere affairs is preferred, but not obligatory; Skill in research in libraries, academic databases, and foreign media is highly desired; Access to academic libraries or well-stocked public libraries would also be useful",Research - Int.,See Regional or Specific Knowledge,
167,State ,"Monitor and Combat Trafficking in Persons; Civilian Security, Democracy and Human Rights (J/TIP)",Washington D.C.,Trafficking in Persons - Africa,"Research and analyze human trafficking in Africa through open source media searches, research with international organization publications, books, and journals to identify practices in fighting trafficking and governmental response to contribute to reports including the Trafficking in Persons Report","French is strongly preferred, Portuguese is a plus; The intern is not required to speak both; Background in African affairs is preferred, but not obligatory;  Skill in research in libraries, academic databases, and foreign media is highly desired; Access to academic libraries or well-stocked public libraries would also be useful",Research - Int.,See Regional or Specific Knowledge,"The program will allow the VSFS eIntern to develop research and analytical skills in political affairs and criminology.  A successful eIntern would also develop writing skills by preparing memoranda on trends of crimes, best practices, and areas requiring improvement."
168,State ,"Monitor and Combat Trafficking in Persons; Civilian Security, Democracy and Human Rights (J/TIP)",Washington D.C.,Trafficking in Persons - Africa & East Asia and Pacific,"Research and analyze human trafficking in Africa & East Asia and Pacific through open source media searches, research with international organization publications, books, and journals to identify practices in fighting trafficking and governmental response to contribute to reports including the Trafficking in Persons Report","Africa & East Asia and Pacific language abilities are highly desired; Background in Africa & East Asia and Pacific affairs is preferred, but not obligatory; Skill in research in libraries, academic databases, and foreign media is highly desired; Access to academic libraries or well-stocked public libraries would also be useful",Research - Int.,,
169,State ,"Monitor and Combat Trafficking in Persons; Civilian Security, Democracy and Human Rights (J/TIP)",Washington D.C.,Trafficking in Persons - Africa,"Research and analyze human trafficking in Africa through open source media searches, research with international organization publications, books, and journals to identify practices in fighting trafficking and governmental response to contribute to reports including the Trafficking in Persons Report","Knowledge of French is strongly preferred; Background in Africa affairs is preferred, but not obligatory; Skill in research in libraries, academic databases, and foreign media is highly desired; Access to academic libraries or well-stocked public libraries would also be useful",Research - Int.,French - Int.,
170,State ,"Monitor and Combat Trafficking in Persons; Civilian Security, Democracy and Human Rights (J/TIP)",Washington D.C.,Trafficking in Persons - Europe,"Research and analyze human trafficking in Europe through open source media searches, research with international organization publications, books, and journals to identify practices in fighting trafficking and governmental response to contribute to reports including the Trafficking in Persons Report","Russian language abilities are highly desired; Background in European affairs is preferred, but not obligatory;  Skill in research in libraries, academic databases, and foreign media is highly desired; Access to academic libraries or well-stocked public libraries would also be useful",Research - Int.,Russian - Int.,
171,State ,"Monitor and Combat Trafficking in Persons; Civilian Security, Democracy and Human Rights (J/TIP)",Washington D.C.,Trafficking in Persons - Europe 2,"Research and analyze human trafficking in Europe through open source media searches, research with international organization publications, books, and journals to identify practices in fighting trafficking and governmental response to contribute to reports including the Trafficking in Persons Report","European language abilities are highly desired in at least one of the following languages: Bulgarian, Croatian, French, German, Lithuanian, Polish, or Slovenian;  Background in European affairs is preferred, but not obligatory; Skill in research in libraries, academic databases, and foreign media is highly desired; Access to academic libraries or well-stocked public libraries would also be useful",Research - Int.,See Regional or Specific Knowledge,
172,State ,Management (M),Washington D.C.,Video Captioning,"Draft transcripts of Department of State videos for both domestic and foreign audiences including press clips, speeches, training, webinars, and embassy and consulate YouTube videos to be used in adding captions to agency video resources",Attention to detail - accuracy of the transcript is critical to accurate captioning,MS Office platform - Adv.,,"Captioning not only makes information and news accessible to individuals who are deaf and hard of hearing, it also enables people who are not native-English speakers to understand important information and messaging. "
173,State ,"Management Policy, Rightsizing and Innovation; Management (M/PRI)",Washington D.C.,Eco-Diplomacy - State GDI Communications,Promote the Department of State’s Greening Diplomacy Initiative (GDI) and facilitate communication between the D.C. Greening Embassies Forum and U.S. Embassies and Consulates overseas,Excellent communicator,Blogging - Int.; Video - Beginner; Graphic design - Int.; MS Office platform - Int.; Social media - Int.; Web chat - Beginner; Website design and development - Int.,,
174,State ,"Management Policy, Rightsizing and Innovation; Management (M/PRI)",Washington D.C.,Eco-Diplomacy - State GDI Research/Writing,"Promote the Department of State’s Greening Diplomacy Initiative (GDI) by performing short research and writing projects on energy, environment and sustainability issues",Good communications skills,MS Office platform - Int.,,
175,State ,"Management Policy, Rightsizing and Innovation; Management (M/PRI)",Washington D.C.,Quality Coordination Outreach Initiative,Develop and/or facilitate outreach initiatives to Collaborative Management Initiative (CMI) Quality Coordinators at U.S. Missions via social media tools in an effort to broaden participation in the CMI platform at the State Department ,Ability to communicate clearly in writing and orally; Skilled in facilitation is desirable.,,,
176,State ,"Policy and Public Outreach, Oceans and International Environmental and Scientific 
Affairs (OES/PPO)",Washington D.C.,Environmental Issues Media Management,"Monitor and compile media coverage relating to oceans, environment, health and science","Background in environmental studies, environmental, health and/or science policy, or journalism is a plus, but not mandatory",MS Office platform - Beginner,,
177,State ,"Inspections, Inspector General (OIG/ISP)",Washington D.C.,OIG Guidelines and Inspection Questionnaires for BBG,Research and update Office of Inspector's General (OIG) Inspection Guidelines and Questionnaires for the Broadcasting Board of Governors (BBG) inspections,"Familiarity with the Office of Inspector General and the Broadcasting Board of Governors; Strong research skills, qualitative and quantitative skills; Strong interest in developing questionnaires",MS Office platform - Adv.; Research - Adv.,,
178,State,"Digital Communications Center, Public Affairs (PA/DCC)",Washington D.C.,Digital Engagement,"Touch the world through public diplomacy and domestic outreach working on DipNote, the State Department’s official blog, and other upcoming cutting-edge online public diplomacy projects including auditing news articles and photos and analyzing the Department’s historical content","Understand social networks and Internet research; Know world geography; Good communication skills; Certain tasks may favor those with skills in journalism, library science, photography, multi-media, anthropology or political science ",Blogging - Int.; Social media - Adv.,,"You will receive an account in our Online Collaboration system.  Meetings are held online every week and will count toward your service time.  Tasks are items that are easily performed online, some of which require analysis, research or detective work.  Each week you will be expected to add to your minimum total hours for the semester.  Your mentor is available by phone, chat, email or online collaboration for assistance.  "
179,State,"Historian, Public Affairs (PA/HO)",Washington D.C.,History Briefing Program,Assist in preparing historical briefings for U.S. Ambassadors and Foreign Service Officers assigned to diplomatic posts overseas or in Washington as part of the Historical Briefing Program (HBP),"Familiarity with European or African history; Ability to conduct online research; ability to analyze information and write briefings materials; Knowledge of a foreign language (French, Spanish, Italian, Portuguese, German) is very helpful but not required",Research - Adv.,See Regional or Specific Knowledge,
180,State,"Historian, Public Affairs (PA/HO)",Washington D.C.,Building an Historical Database of U.S. Principal Officers,"Create a database of U.S. Department of State Principal Officers (e.g. Secretaries of State, Deputy Secretaries of State, Under-Secretaries of State; Ambassadors, Assistant Secretaries, etc.), listing their names, titles, tenure, etc.","Must be detail-oriented history students with knowledge of XML that will be used to analyze data, improve the quality of presentation, and code the corrected information for deployment onto the public website;  Have a keen eye for detail, be prompt with weekly updates of work completed, and be on the lookout for ways to improve the final product",Website design and development - Int.,,This position is suited for someone with an interest in U.S. diplomatic history.  Please describe your XML experience in your application.
181,State,"Historian, Public Affairs (PA/HO)",Washington D.C.,Building a Database of Primary Source Resources,"Build a database of primary source material on U.S. diplomatic history, based on extensive bibliographic and research skills","Familiarity with online databases, such as WorldCat, the Library of Congress catalog, ArchivesGrid, the National Union Catalog of Manuscript Collections, etc.",Research - Adv.,,"Ideal candidates are advanced undergraduate or graduate students in history with significant experience in primary source research.  These students will use specialized databases to locate primary source material. Keen eye for detail, the ability to do thorough research, work under deadline.  Please describe your experience with primary source research in your application."
182,State,"Historian, Public Affairs (PA/HO)",Washington D.C.,Building a Database of Historical City Name Changes,Create a database showing how names of significant world cities have changed over time,,Research - Adv.,,"The ideal candidate is an advanced undergraduate or graduate student of geography with an eye for detail and thorough research skills.  The successful applicant will be prompt with weekly updates of work completed, and be on the lookout for ways to help us improve the final product.  When the database is complete, we will seek the student’s help in creating maps from this data.  Please describe your research and map-creating experience in your application."
183,State,"Historian, Public Affairs (PA/HO)",Washington D.C.,Application of Subject Taxonomy to FRUS vols,Assist the Office of the Historian in converting an historic publication to electronic format in order to improve access,"Ideal candidate is a dedicated student with a library science background who understands the basic principles of cataloging, can analyze publications, and apply the appropriate tags to them.  Because this system of tags is used for a variety of the Office's resources, the student may from time be asked to look at short policy studies papers prepared by the Office and apply the taxonomy to those documents. Please describe your experience with or interest in subject cataloging in your application.",Research - Adv.,,"The Office of the Historian uses  “tags” to categorize publications.  The list is divided into three categories: People, Places, and Topics. "
184,State,"Historian, Public Affairs (PA/HO)",Washington D.C.,Social Media Content Creation,Create history-related content for use by the Office of the Historian’s Twitter (and Tumblr) accounts by using data from the Office's website (including the Foreign Relations series),,Research - Int.; Social media - Int.,,The ideal candidate is creative and enjoys drafting interesting posts.
185,State,"Historian, Public Affairs (PA/HO)",Washington D.C.,Web Content Editing,"Review content on the Office the Historian website for errors, stale content, and broken links, and edit current content on an ongoing basis",,Website design and development - Int.; Website editing - Int.,,"The ideal candidate is a student familiar with website/digital content editing who has some knowledge of XML.  The position requires attention to detail and the ability to review and work on several content areas simultaneously.  Please describe any content management, digital editing, or XML experience in your application."
186,State,"Historian, Public Affairs (PA/HO)",Washington D.C.,Web Technical Editing,Serve as a technical editor for the Office of the Historian's public website (http://history.state.gov),Excellent written communication skills; Excellent grammar and spelling abilities and attention to detail; Experience using an editorial style guide like The Chicago Manual of Style; Interest in U.S. history and foreign relations.    ,Website editing - Adv.,," This position is suited for undergraduate and/or graduate students pursuing a degree in English, publishing and media, communications, journalism, or history. "
187,State,"Historian, Public Affairs (PA/HO)",Washington D.C.,Database of U.S. Recognitions & Relations,"Analyze data, improve the quality of presentation, and code the corrected information in XML for deployment of a comprehensive database of all countries with which the U.S. has recognized and entered into diplomatic relations which will be featured on a public website",,Website editing - Int.,,"The successful applicant will have a keen eye for detail, be prompt with weekly updates of work completed, and be on the lookout for ways to improve the final product. This position is suited for someone with an interest in U.S. diplomatic history. Please describe your XML experience in your application."
188,State,"Center for Strategic Counterterrorism Communications, Public Diplomacy and Public Affairs (R/CSCC)",Washington D.C.,Online Resources for Foreign Students,Research and identify organizations that provide online training and education to young people living in areas where they may not have access to sufficient educational resources in their communities and the demand for these resources grows,"Intermediate level in at least one of the following languages is required: Arabic, Somali, or Urdu; Knowledge of either East Africa or the Middle East or Pakistan",Research - Int.,See Regional or Specific Knowledge,
189,State,"Center for Strategic Counterterrorism Communications, Public Diplomacy and Public Affairs (R/CSCC)",Washington D.C.,Kenyan Social Media,Research the social media platforms of greatest relevance to residents in the Northeastern and Coast provinces of Kenya and track what topics and issues are most pressing to them,Knowledge about Kenya,Research - Int.,,
190,State,"Center for Strategic Counterterrorism Communications, Public Diplomacy and Public Affairs (R/CSCC)",Washington D.C.,Swahili Facebook,Research Swahili Facebook and social media platforms of greatest relevance to residents in the Northeastern and Coast provinces of Kenya and track what topics and issues are most pressing to them,Knowledge of East Africa; Intermediate or advanced Swahili required,Research - Int.,Swahili - Int.,
191,State,"Center for Strategic Counterterrorism Communications, Public Diplomacy and Public Affairs (R/CSCC)",Washington D.C.,Somali Facebook,Research Somali Facebook and social media platforms of greatest relevance to Somali speakers online and track what topics and issues are most pressing to them,Knowledge of Somalia,Research - Int.,Somali - Adv.,
192,State,"Cyber Issues, Secretary (S/CCI)",Washington D.C.,Web Content and Social Media Management,"Coordinate web content and social media, working closely with the Department of State's Office of the Coordinator for Cyber Issues staff to improve the office’s online presence","Advanced research and writing skills, significant experience building and executing social media campaigns, and basic knowledge of web design, as well as interest in the area of international cyber policy",Blogging - Adv.; MS Office platform - Adv.; Research - Int.; Social media - Adv.; Website design and development - Beginner; Website editing - Beginner,,"Successful candidates will have a background in communications, journalism, international relations, or a related field.  This position will require reliable Internet access and the availability to conference (online or via telephone) with S/CCI on a weekly basis.  Please consider joining this dynamic and growing office for a challenging and rewarding virtual internship!  "
193,State,"Global Partnership Initiative, Secretary (S/GPI)",Washington D.C.,Accelerating Market-driven Partnerships (AMP),Support Accelerating Market-driven Partnership (AMP)’s initiatives in Brazil: 1) through research into project opportunities in sustainable housing and other workstreams; stakeholder mapping; and aggregating the latest news and activities in impact investing; and 2) by communicating AMP’s work to partners and external audiences,Familiarity with Brazil; Interest in impact investing and shared value,Blogging - Beginner; Video - Beginner; Graphic design - Beginner; MS Office platform - Adv.; Research - Adv.,Portuguese-Brazilian - Beginner,
194,State,"Global Partnership Initiative, Secretary (S/GPI)",Washington D.C.,Building Rainforests in the Desert through Global Engagement (BRIDGE),"Research and create various outputs for the ""ecosystem"" of entrepreneurship and innovation in the Middle East and North Africa region to help develop opportunities for enhancing these initiatives that focus on youth unemployment, urban sustainability, food security, and access to water","Expertise in Middle East, North Africa, and Muslim majority countries; Understanding of entrepreneurship, innovation, impact investment, social entrepreneurship, and private sector interests in advancing sustainable development; Working knowledge of Arabic, French, Turkish desirable",Blogging - Int.; Video - Int.; MS Office platform - Int.; Research - Adv.; Social media - Adv.; Web chat - Int.; Website design and development - Int.,,
195,State ,Affinity Group,Washington D.C.,Asian American and Pacific Islanders (AAPI) in Foreign Policy,Research and develop a body of information on Asian American and Pacific Islanders service in Foreign Affairs for the United States to populate Diplopedia and other resources,,,,The Asian American Foreign Affairs Association will have a discussion with the successful applicant about the definition of AAPI and geographic scope of the project.
196,USAID,"Sustainable Development, Africa (AFR/SD/CPG)",Washington D.C.,"Governance and Conflict Monitoring, Africa",Support research and analysis of current issues in governance and conflict in sub-Saharan Africa,"Background and/or interest in issues of democracy, governance, conflict, peace and security in Africa desired; Experience working with MS Office, particularly Excel; Strong analytic and research skills; Excellent oral and written communication skills; French language skills are a plus",MS Office platform - Int.; Research - Int.,,"The division engages in conflict assessments, assists with country program strategies and activities, and provides technical expertise and assistance, and identifies ""best practices"" on relevant issues."
197,USAID,American Schools and Hospitals Abroad (ASHA),Washington D.C.,History of American Schools and Hospitals Abroad,Produce a video documenting the history of the 50+ year history of the USAID American Schools and Hospitals Abroad (ASHA) Program. ,,Blogging - Beginner; Video - Int.; Digital film editing software - Int.; MS Office platform - Int.; Research - Int.; Web chat - Int.,,
198,USAID,Agriculture Research & Policy; Food Security (BFS/ARP),Washington D.C.,Country Policy Matrices,"Create an Acrobat or other relational database of partner-country (19) and regional (5) policy priorities to improve food security and nutrition in support of the Feed the Future program to improve understanding the commonalities and differences between policy areas, actions, and types of support, among others",Must be fluent in a relational database software such as Acrobat or similar,,,Good project for someone who has completed a course in a relational database language.  Practice those skills for real!  Must agree with POC as to software to be used.
199,USAID,"Strategic Planning & Performance Management, Food Security (BFS/SPPM)",Washington D.C.,Feed the Future Knowledge Management,Support mapping of knowledge flows and improvement of learning among implementing partners to support to the President's Feed the Future initiative,,Research - Int.; Social media - Int.,,
200,USAID,"Strategic Planning & Performance Management, Food Security (BFS/SPPM)",Washington D.C.,Feed the Future Monitoring and Evaluation,"Support the monitoring and evaluation of programs under the President's Global Hunger and Food Security Initiative, Feed the Future",,Blogging - Int.; MS Office platform - Int.; Research - Int.; Website editing - Beginner,,
201,USAID,Center for Faith Based and Community Initiatives (CFBCI),Washington D.C.,Research Assistant ,"Research and compile data on the reach of faith-based and community influencers in USAID priority areas including Child and Maternal Health, Food Security, and Water and Sanitation ",Preferred knowledge of the faith-based and community organizations in development; Research proficiency with online search engines and database server Salesforce;  Proficiency in Excel for reporting and analysis required,MS Office platform - Int.; Research - Adv.; Social media - Adv.,,
202,USAID,"Democracy, Conflict and Humanitarian Assistance (DCHA)",Washington D.C.,Employment Law Research,Provide legal research support on labor law and labor relations from the union side,Law students with an interest in employment law are ideal candidates,,,Must be a law student
203,USAID,"Center of Excellence on Democracy, Human Rights, and Governance  (DCHA/DRG)",Washington D.C.,Counter-Trafficking in Persons Project and Policy Support,"Work closely with members of the Human Rights team to promote and advance USAID’s Counter-Trafficking in Persons (CTIP) Policy, CTIP Field Guide as well as the Campus Challenge that involves an online global community at Challengeslavery.com dedicated to addressing all forms of human trafficking","Africa, LAC, Asia, E&E experience helpful but not required; Interest in human rights issues with specialized knowledge of human trafficking, as well as the rights of women, children and/or workers; Research, knowledge management, and analytical abilities; Good writing and editing skills; Proficiency in Microsoft Office Word and Excel; familiarity with web content management systems, e.g. WordPress and info-graphic development applications",MS Office platform - Int.; Research - Adv.,,
204,USAID,"Democracy, Human Rights and Governance; Democracy, Conflict and Humanitarian Assistance (DCHA/DRG)",Washington D.C.,International Engagement on Rule of Law Issues,"Support international outreach and engagement on development, democracy, rule of law and related issues",,,,
205,USAID,"Democracy, Human Rights and Governance; Democracy, Conflict and Humanitarian Assistance (DCHA/DRG)",Washington D.C.,Theories of Democratic Change,"Help USAID’s Center of Excellence on Democracy, Human Rights and Governance (DRG) conduct research on theories of democratic change to shape strategic planning and project development ","Familiarity with a broad-range of literature related to the dynamics around political transitions is required; Knowledge of donor-assisted efforts (including bilateral, multi-lateral, INGOs, etc.) to promote improvements in democracy, human rights, and/or governance in developing countries is desirable, but not required",MS Office platform - Beginner; Research - Adv.,,"The DRG Center seeks one or more graduate-level eIntern(s) who have strong political science background, experience conducting professional research, and keen research management skills. Familiar with the international development sector."
206,USAID,"Economic Growth, Education, and Environment (E3)",Washington D.C.,Development Policy ,"Inform development policy decisions by analyzing country development achievements, reviewing proposed development projects, and tracking global trade and investment trends","Familiarity with economics, basic statistics with Excel required; Ability to use Stata, SPSS, or R a plus",MS Office platform - Int.; Research - Adv.,,"Ability to gather data from public sources, format within Excel, create and interpret derivative statistics; Familiarity with general International development principals; Familiarity with best practices in economic governance; International experience a plus but not required"
207,USAID,"Economic Growth, Education & Environment (E3)",Washington D.C.,Analyzing USAID Project Evaluations ,Identify and review evaluations of USAID projects and programs providing direct capacity development support to local non-governmental organizations (NGOs) and the private sector or public sector,,Research - Int.,,
208,USAID,"Economic Growth, Education, and Environment (E3)",Washington D.C.,Development Policy ,"Inform development policy decisions by analyzing country development achievements, reviewing proposed development projects, and tracking global trade and investment trends","Familiarity with economics, basic statistics with Excel required; Ability to use Stata, SPSS, or R a plus",MS Office platform - Int.; Research - Adv.,,"Ability to gather data from public sources, format within Excel, create and interpret derivative statistics; Familiarity with general International development principals; Familiarity with best practices in economic governance; International experience a plus but not required"
209,USAID,"Development Credit Authority; Economic Growth, Education, and Environment (E3/DC)",Washington D.C.,Financial Research and Analysis,Work closely with USAID's Development Credit Authority team to increase access to finance in Latin America and Eastern Europe by analyzing and writing country risk reports and investigating finance topics more broadly as needed,"Spanish, Latin America preferred",,Spanish - Adv.,Weekly calls will be held to discuss the work
210,USAID,"Infrastructure and Engineering; Economic Growth, Education & Environment (E3/E&I/ICT)",Washington D.C.,Global Broadband Innovation,"Accelerate expansion of affordable broadband (high quality voice and data telecommunications) to underserved communities, particularly in rural areas of developing countries overseas","Experience with telecommunications issues in developing economies, eager to do research on pertinent topics;  the ideal candidate is a ""communicator"" who will enjoy networking with volunteers worldwide, and will participate in weekly meetings with the Global Broadband Innovation core team.",Social media - Int.,See Comments Section,Any and all language skills of interest
211,USAID,"Education; Economic Growth, Education & Environment (E3/ED)",Washington D.C.,Education Advising - Reading,"Accelerate the achievement of USAID Education's Goal 1:  Improving the Reading skills of 100 Million Students in Primary Grades Worldwide, by researching and reporting on a variety of topics that could include assessment of early literacy skills, norms for cognitive development in the US and elsewhere, curriculum, and changing teacher practice and incentives",Good analytical and writing skills; ability to work independently; Prefer knowledge of a developing country or region,Research - Adv.,,"Support the research agenda of the USAID Education office: assessment of early literacy skills, norms for cognitive development in the US and elsewhere, curriculum, changing teacher practice and incentives.  We will structure a research project that fits your interests and our needs. "
212,USAID,"Education; Economic Growth, Education & Environment (E3/ED)",Washington D.C.,Communications Content Development,"Support education communications team in developing, editing and compiling content for internal and external communications, including internal and external newsletters, blogs, and social media content",,Social media - Beginner,,"Candidates do not have to have extensive experience using social media tools for outreach, just that they can learn quickly and are interested in a career in journalism, education, communications, marketing or international development."
213,USAID,"Education; Economic Growth, Education & Environment (E3/ED)",Washington D.C.,Build Online Course Catalogue,Build a catalogue of Massive Open Online Course (MOOC) offerings for developing country students,,Research - Int.; Website design and development - Beginner,,"Applicants should have an interest in education, particularly higher education.  An interest in technology for achievement of cost-effective scale in development assistance is a plus.  A supportive but critical approach to MOOCs is of interest."
